5508;EVENTUAL FAPA CONCURSOS;E56-1;O
5507;PARQUE NAUTICO/SEMANA FARROUPILHA;E40-2;O
5506;PARQUE NAUTICO/SEMANA FARROUPILHA;E40-1;O
5505;EVENTUAL PARQUE CONDOR;E32-2;O
5504;EVENTUAL PARQUE CONDOR;E32-1;O
5503;EVENTO/HIPODROMO;E180-2;O
5502;EVENTO/HIPODROMO;E180-1;O
5501;EVENTUAL ELEI菄菚ES CONSELHO;E18-2;O
5500;EVENTUAL ELEI菄菚ES CONSELHO;E18-1;O
5499;ILHA DA PINTADA/DIRETA;D18-2;O
5498;ILHA DA PINTADA/DIRETA;D18-1;O
5497;CIRCULAR ZONA SUL;C80-1;O
5496;PASSO DAS PEDRAS / AEROPORTO;B56-1;O
5495;AEROPORTO/INDUSTRIAS/IGUATEMI/ANCHIETA;B091-1;O
5494;AEROPORTO/INDUSTRIAS/IGUATEMI;B09-1;O
5493;JARDIM FLORESTA/OBIRICI;B05-1;O
5492;PASSO DAS PEDRAS / SERTORIO;756-2;O
5491;PASSO DAS PEDRAS / SERTORIO;756-1;O
5490;ILHA DA PINTADA;718-2;O
5489;ILHA DA PINTADA;718-1;O
5488;SARANDI / SERTORIO;715-2;O
5487;SARANDI / SERTORIO;715-1;O
5486;INDUSTRIAS;705-1;O
5485;HUMAITA/A.J.RENNER/DONA TEODORA;7041-2;O
5484;HUMAITA/A.J.RENNER/DONA TEODORA;7041-1;O
5483;HUMAITA;704-2;O
5482;HUMAITA;704-1;O
5481;VILA FARRAPOS;703-2;O
5480;VILA FARRAPOS;703-1;O
5479;ANCHIETA/EVENTO CIDADE ELETRICA;7021-1;O
5478;BAIRRO ANCHIETA;702-1;O
5477;VILA FARRAPOS/VOLUNTARIOS;701-2;O
5476;VILA FARRAPOS/VOLUNTARIOS;701-1;O
5475;FESTA DOS NAVEGANTES;690-2;O
5474;FESTA DOS NAVEGANTES;690-1;O
5473;PLANALTO/SABARA VIA JARDIM EUROPA;6651-2;O
5472;PLANALTO/SABARA VIA JARDIM EUROPA;6651-1;O
5471;PLANALTO/SABAR莵;665-2;O
5470;PLANALTO/SABAR莵;665-1;O
5469;PASSO DAS PEDRAS / FAPA;656-2;O
5468;PASSO DAS PEDRAS / FAPA;656-1;O
5467;EDUCANDARIO PETROPOLIS;654-2;O
5466;EDUCANDARIO PETROPOLIS;654-1;O
5465;CHACARA DA FUMACA/TRIANGULO;A55-1;O
5464;ITU COINMA/AV DO FORTE;653-1;O
5463;HOSPITAL;652-2;O
5462;HOSPITAL;652-1;O
5461;AV.DO FORTE/ITU COINMA;650-1;O
5460;CHACARA DAS PEDRAS/ARARUAMA;6371-2;O
5459;CHACARA DAS PEDRAS/ARARUAMA;6371-1;O
5458;CHACARA DAS PEDRAS;637-2;O
5457;CHACARA DAS PEDRAS;637-1;O
5456;IGUATEMI / V. JARDIM;620-2;O
5455;IGUATEMI / V. JARDIM;620-1;O
5454;IGUATEMI;617-1;O
5453;IGUATEMI II;6172-2;O
5452;SARANDI;615-2;O
5451;SARANDI;615-1;O
5450;LEAO;614-2;O
5449;LEAO;614-1;O
5448;ELISABETH;613-2;O
5447;ELISABETH;613-1;O
5446;LINDOIA;611-2;O
5445;LINDOIA;611-1;O
5444;MINUANO;610-2;O
5443;MINUANO;610-1;O
5442;IAPI;608-2;O
5441;IAPI;608-1;O
5440;JARDIM SAO PEDRO;605-1;O
5439;HERDEIROS/ PARADA 01 (POL菎CIA CIVIL);3761-1;O
5438;TRIANGULO/24 DE OUTUBRO;520-1;O
5437;PEREIRA PASSOS VIA HOSPITAL DA BRIGADA MILITAR;2822-2;O
5436;PEREIRA PASSOS;2821-2;O
5435;PEREIRA PASSOS;2821-1;O
5434;CRUZEIRO DO SUL;282-2;O
5433;CRUZEIRO DO SUL;282-1;O
5432;OTTO/HPS/3鼎 PERIMETRAL;2802-2;O
5431;OTTO/HPS/3鼎 PERIMETRAL;2802-1;O
5430;OTTO/HPS/SABADOS/DOMINGOS/FERIADOS;2801-2;O
5429;OTTO/HPS/SABADOS/DOMINGOS/FERIADOS;2801-1;O
5428;OTTO/HPS;280-2;O
5427;OTTO/HPS;280-1;O
5426;ASSUNCAO;188-2;O
5425;ASSUNCAO;188-1;O
5424;LIBERAL;186-2;O
5423;LIBERAL;186-1;O
5422;DIARIO/JOCKEY;1802-1;O
5421;DIARIO;180-2;O
5420;DIARIO;180-1;O
5419;SERRARIA / OSWALDO CRUZ;1792-1;O
5418;CAMAQUA;173-2;O
5417;CAMAQUA;173-1;O
5416;ALIMENTADORA RESTINGA NOVA 09;A09-1;O
5415;ALIMENTADORA CH莵CARA DO BANCO/NOITE;A18-2;O
5414;ALIMENTADORA RESTINGA VELHA;A17-1;O
5413;ALIMENTADORA CHACARA DO BANCO;A11-2;O
5412;ALIMENTADORA CHACARA DO BANCO;A11-1;O
5411;ESCOLAR/GEDEON LEITE;A876-2;O
5410;ESCOLAR/GEDEON LEITE;A876-1;O
